Title,Price,Available_Colors,Available_Size,Item_Context,Url
Relaxed Fit Jersey top,999,Blue/Striped,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-jersey-top-blue-striped.html
Relaxed Fit Appliquéd sweatshirt,899,Pink,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-appliqued-sweatshirt-pink.html
Regular Fit Windbreaker,1999,Green,"S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-windbreaker-green.html
Baggy Jeans,2499,Dark denim blue,"30/32,31/32,32/32,33/32",None,https://eg.hm.com/en/buy-baggy-jeans-dark-denim-blue.html
Relaxed Fit Sweatshirt,999,Green/Peace symbol,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-green-peace-symbol.html
Jacket Slim Fit,3999,Burgundy,"46,48,50,52,54",Work,https://eg.hm.com/en/buy-jacket-slim-fit-burgundy.html
Baggy Jeans,2499,Dark denim grey,"28/30,29/30,30/32,31/32,32/32,33/32,34/32,36/32",None,https://eg.hm.com/en/buy-baggy-jeans-dark-denim-grey-0.html
Regular Fit Joggers,899,Light grey marl,"S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-joggers-light-grey-marl-0.html
Relaxed Fit Corduroy shirt,1199,Sage green,"M,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-corduroy-shirt-sage-green.html
Twill shacket,1699,Dusty green/Checked,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-twill-shacket-dusty-green-checked.html
Oversized Fit Overshirt,2999,Beige/Checked,"S,M,L,XL",Casual,https://eg.hm.com/en/buy-oversized-fit-overshirt-beige-checked.html
Relaxed Fit Nylon cargo joggers,1999,Khaki green,"M,XL",None,https://eg.hm.com/en/buy-relaxed-fit-nylon-cargo-joggers-khaki-green.html
Regular Fit Ribbed sweatshirt,1199,Black,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-ribbed-sweatshirt-black.html
Loose Fit Tailored twill trousers,1999,Beige,31,Casual,https://eg.hm.com/en/buy-loose-fit-tailored-twill-trousers-beige.html
Slim Denim shorts,799,Pale denim blue,32,None,https://eg.hm.com/en/buy-slim-denim-shorts-pale-denim-blue.html
Relaxed Fit Sweatshirt,1699,White/NASA,"M,XXL",Casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-white-nasa.html
Slim Fit Joggers,1699,Black,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-slim-fit-joggers-black-1.html
Relaxed Fit Sweatshirt,649,Dark green,"XS,S,M,L,XL",Casual,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-dark-green-1.html
Oversized Fit Zip-through hoodie,1699,Beige,"M,L,XL,XXL",None,https://eg.hm.com/en/buy-oversized-fit-zip-through-hoodie-beige.html
Sports socks in DryMove™,599,Dark grey,"40/42,43/45",None,https://eg.hm.com/en/buy-sports-socks-drymovetm-dark-grey.html
Relaxed Fit Patterned shacket,1599,Khaki green/Patterned,M,Casual,https://eg.hm.com/en/buy-relaxed-fit-patterned-shacket-khaki-green-patterned.html
Hooded top,1699,Light green/Tom and Jerry,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-hooded-top-light-green-tom-and-jerry.html
Pyjamas,1499,Black/Checked,"S,M,L,XL",None,https://eg.hm.com/en/buy-pyjamas-black-checked.html
Relaxed Fit Sweatshirt,1699,Dark brown/The Simpsons,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-dark-brown-simpsons.html
Slim Fit trousers,1199,Navy blue/Checked,"029,30,31,34,36",Casual,https://eg.hm.com/en/buy-slim-fit-trousers-navy-blue-checked.html
Regular Fit Patterned lyocell shirt,1999,Black,"S,M,L",None,https://eg.hm.com/en/buy-regular-fit-patterned-lyocell-shirt-black.html
Regular Jeans,1499,Dark denim blue,"28/30,30/30,31/30,32/30,33/30,34/30",None,https://eg.hm.com/en/buy-regular-jeans-dark-denim-blue.html
Regular Fit Joggers,899,Dark brown,"XS,S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-joggers-dark-brown-0.html
Skinny Fit Cargo trousers,2199,Dark grey,"S,M,L,XL",None,https://eg.hm.com/en/buy-skinny-fit-cargo-trousers-dark-grey.html
Relaxed Fit Sweatshirt,1699,Bright blue/NASA,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-bright-blue-nasa.html
Skinny Fit Cargo trousers,2199,Dark khaki green,"S,M,L,XL",None,https://eg.hm.com/en/buy-skinny-fit-cargo-trousers-dark-khaki-green.html
Relaxed Fit Cotton T-shirt,449,Black/Sculpture,"S,M,L,XL,XXL",Casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-black-sculpture.html
Regular Fit Denim overshirt,2499,Black,"XS,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-denim-overshirt-black.html
Jersey lounge set,999,Black,"XS,M,L,XL",None,https://eg.hm.com/en/buy-jersey-lounge-set-black.html
Regular Fit Hoodie,899,Dark beige,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-hoodie-dark-beige.html
Relaxed Fit Printed jersey top,1099,White/Nirvana,"XS,S,M,XL",None,https://eg.hm.com/en/buy-relaxed-fit-printed-jersey-top-white-nirvana.html
Regular Fit Wool-blend overshirt,2999,Black,M,None,https://eg.hm.com/en/buy-regular-fit-wool-blend-overshirt-black.html
Relaxed Fit Hoodie,1199,Bright blue/Flowers,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-bright-blue-flowers.html
DryMove™ Sports vest top,699,Dark grey,"S,M,L",None,https://eg.hm.com/en/buy-drymovetm-sports-vest-top-dark-grey.html
Fleece trousers,2799,Black,"S,XL,XXL",None,https://eg.hm.com/en/buy-fleece-trousers-black.html
DryMove™ Track pants,1699,Black,"S,M,L,XL",None,https://eg.hm.com/en/buy-drymovetm-track-pants-black-0.html
Slim Jeans,999,Light denim blue,"29/32,31/32,32/32,33/32,34/32,36/32",Casual,https://eg.hm.com/en/buy-slim-jeans-light-denim-blue-2.html
Relaxed Jeans,2499,Denim grey,"29/32,30/32,31/32,32/32,33/32,34/32,36/32",None,https://eg.hm.com/en/buy-relaxed-jeans-denim-grey-0.html
